"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF503-AS2",163.79085422666,-0.128015703535292,0.180275217505493,-0.710112600648456,0.477634312992951,0.771338166825683
"EEF1G",20743.6138578572,-0.0323134273196677,0.0455186562382011,-0.709894139901013,0.477769784671801,0.771346060410828
"STRIP1",889.590265338766,0.0615187058554743,0.0866946662393363,0.709601968887461,0.477950998333946,0.77155466894579
"APEH",2720.83859557534,0.0371909221611905,0.0524226713321367,0.709443475811415,0.47804931645044,0.771629428652652
"URB2",495.825975935964,-0.076968893679642,0.108506808845703,-0.709346210605937,0.478109658515096,0.771642880821112
"NAT14",841.549312308681,-0.0609997101125223,0.086020088540039,-0.709133309995715,0.478241753806373,0.771772123257032
"B9D1",357.997132545956,-0.0881166342697075,0.1243070334724,-0.708862819811977,0.478409609614536,0.771959040549307
"DDX41",1777.84210189188,0.0485316107711482,0.0684764344336122,0.708734489062796,0.478489258001923,0.772003601671872
"LSG1",629.360784894234,0.0738718824081736,0.104243962326287,0.70864422993585,0.478545281603841,0.772010040573685
"C8orf82",712.128376454228,0.0738805298532021,0.104290833612535,0.708408661567382,0.478691515148895,0.772131714035278
"MRPL19",1108.80049805919,-0.0520488710781235,0.0734785040990292,-0.708355072225962,0.478724785159434,0.772131714035278
"TRAPPC2L",466.175690907747,0.0855235376671235,0.12080556724666,0.707943678559965,0.478980233820883,0.772459753173961
"HDGFL3",565.62337498054,0.0703726294007772,0.0994300623282995,0.707760085359495,0.479094257250049,0.77247571123875
"PRR22",34.8635247781602,-0.262661789105704,0.371113397370327,-0.707766927755504,0.479090007407136,0.77247571123875
"PPARD",3328.63086373964,-0.0372340559588274,0.0526427984370873,-0.707296288652385,0.47938237144165,0.772772299552343
"TMEM260",438.727408828712,-0.0754186875399601,0.106628662486716,-0.707302199812885,0.479378698787101,0.772772299552343
"ANKHD1-EIF4EBP3",1018.89818286655,0.0771096307637858,0.109070363140665,0.706971431500046,0.479584231575636,0.772984818165799
"OSBPL2",1065.07618623899,0.0537295094846379,0.0760072657703078,0.706899648870508,0.479628842208543,0.772984818165799
"ZNF622",738.382017524816,0.0617910385226983,0.0874196193138328,0.706832619584753,0.479670500832548,0.772984818165799
"GNB1L",66.4849344603129,0.202097564665229,0.285967060886067,0.706716235216152,0.479742838272542,0.773017429566649
"LIPT2",49.7768915087634,-0.229304696574037,0.324637678765084,-0.706340365192073,0.479976496838016,0.773309945008757
"H2BC11",454.695996393751,-0.0919697773570923,0.130357095596396,-0.70552183551131,0.480485548206912,0.773995593167553
